                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8592,                 2.4163,                 1.0434,                0.32406,                0.16556,                0.12899,                0.06892,                 1.6794,                  1.523,                0.99044,             0.00023741,             0.00023741,             0.00023741
                      2,                 1.6948,                 1.5502,                0.99491,                0.25203,                0.21423,                0.17462,                0.09717,                 1.6237,                  1.416,                0.96546,             0.00045972,             0.00045972,             0.00045972
                      3,                 1.6658,                 1.4494,                0.98771,                0.28683,                0.23458,                0.19859,                0.11116,                 1.5932,                 1.3196,                0.96787,             0.00066633,             0.00066633,             0.00066633
                      4,                 1.6321,                 1.3865,                0.98039,                 0.3043,                0.23849,                0.21778,                0.11913,                 1.5469,                 1.2507,                0.95786,             0.00064331,             0.00064331,             0.00064331
                      5,                 1.6055,                 1.3317,                0.97288,                0.32151,                0.24347,                0.22612,                0.12539,                 1.5478,                 1.2392,                0.95205,             0.00064331,             0.00064331,             0.00064331
                      6,                 1.5946,                 1.3028,                0.96732,                0.31296,                0.25015,                0.22666,                0.12658,                 1.5453,                 1.2116,                0.94717,             0.00061975,             0.00061975,             0.00061975
                      7,                 1.5709,                 1.2677,                0.96366,                 0.3262,                0.27227,                0.24104,                0.13247,                 1.5173,                 1.2206,                0.94807,             0.00059619,             0.00059619,             0.00059619
                      8,                 1.5599,                 1.2463,                0.96011,                0.33552,                0.26422,                0.24382,                0.13959,                  1.493,                 1.1738,                0.93827,             0.00057263,             0.00057263,             0.00057263
                      9,                 1.5433,                  1.225,                0.95584,                0.34367,                0.27233,                0.25027,                0.14019,                 1.4789,                 1.1572,                0.93836,             0.00054907,             0.00054907,             0.00054907
                     10,                 1.5305,                 1.2052,                0.95299,                0.32745,                0.27563,                0.24885,                0.13941,                 1.4702,                 1.1707,                0.93898,              0.0005255,              0.0005255,              0.0005255
                     11,                 1.5254,                 1.2012,                0.95286,                0.35908,                0.27624,                0.26247,                0.14766,                 1.4697,                 1.1331,                0.93833,             0.00050194,             0.00050194,             0.00050194
                     12,                 1.5025,                 1.1751,                0.95009,                0.36514,                 0.2786,                0.25661,                0.14438,                 1.4647,                  1.143,                0.93357,             0.00047838,             0.00047838,             0.00047838
                     13,                 1.5047,                   1.17,                0.94646,                0.37036,                0.27701,                0.26853,                0.15191,                 1.4505,                 1.1245,                0.93497,             0.00045482,             0.00045482,             0.00045482
                     14,                 1.5022,                 1.1583,                0.94514,                0.36161,                0.27597,                0.26769,                0.15071,                 1.4632,                 1.1334,                 0.9326,             0.00043126,             0.00043126,             0.00043126
                     15,                 1.4877,                 1.1445,                0.94331,                0.36325,                0.28561,                0.27271,                0.15694,                 1.4416,                 1.1032,                 0.9265,             0.00040769,             0.00040769,             0.00040769
                     16,                 1.4801,                 1.1352,                0.94161,                0.38313,                0.28334,                0.27299,                0.15702,                 1.4268,                  1.092,                0.92734,             0.00038413,             0.00038413,             0.00038413
                     17,                 1.4797,                 1.1271,                0.94091,                0.36666,                0.29277,                0.27974,                0.15921,                 1.4275,                 1.0918,                0.92639,             0.00036057,             0.00036057,             0.00036057
                     18,                 1.4739,                 1.1203,                0.93654,                0.37554,                0.29213,                0.28107,                0.16028,                 1.4269,                 1.0959,                0.92753,             0.00033701,             0.00033701,             0.00033701
                     19,                 1.4649,                 1.1066,                 0.9352,                0.38242,                0.28692,                0.27927,                0.16154,                 1.4297,                 1.0798,                 0.9241,             0.00031345,             0.00031345,             0.00031345
                     20,                 1.4515,                 1.0916,                0.93468,                0.39275,                0.29282,                0.28556,                0.16364,                 1.4123,                 1.0635,                0.92371,             0.00028988,             0.00028988,             0.00028988
                     21,                 1.4304,                 1.0725,                0.93525,                0.38341,                 0.2949,                0.28055,                0.16039,                 1.4164,                  1.081,                0.92527,             0.00026632,             0.00026632,             0.00026632
                     22,                 1.4177,                 1.0574,                0.93314,                0.38054,                0.29231,                0.28285,                0.16161,                 1.4104,                 1.0719,                0.92315,             0.00024276,             0.00024276,             0.00024276
                     23,                 1.4078,                 1.0432,                 0.9314,                0.38692,                0.29489,                0.28471,                0.16305,                 1.4117,                 1.0738,                0.92273,              0.0002192,              0.0002192,              0.0002192
                     24,                 1.4068,                 1.0356,                0.92849,                0.39892,                0.29392,                0.28823,                0.16573,                 1.4037,                 1.0568,                0.92235,             0.00019564,             0.00019564,             0.00019564
                     25,                 1.4011,                 1.0297,                0.92898,                0.39938,                 0.2982,                0.29138,                0.16681,                 1.4021,                 1.0508,                 0.9199,             0.00017207,             0.00017207,             0.00017207
                     26,                 1.3952,                 1.0229,                0.92593,                0.41239,                0.29811,                0.29355,                0.16779,                 1.3997,                 1.0517,                 0.9208,             0.00014851,             0.00014851,             0.00014851
                     27,                 1.3874,                  1.015,                0.92421,                0.39981,                0.30556,                0.29706,                 0.1685,                 1.3937,                 1.0455,                0.91993,             0.00012495,             0.00012495,             0.00012495
                     28,                 1.3799,                  1.006,                0.92131,                0.40471,                0.30299,                0.29533,                  0.169,                 1.3949,                 1.0415,                0.91901,             0.00010139,             0.00010139,             0.00010139
                     29,                 1.3725,                0.99296,                0.92104,                0.40792,                0.30033,                0.29621,                0.16993,                 1.3944,                 1.0343,                0.91829,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     30,                 1.3689,                 0.9914,                0.91939,                0.41275,                0.29698,                0.29679,                0.17058,                  1.387,                 1.0337,                0.91755,             5.4264e-05,             5.4264e-05,             5.4264e-05
